name,npts,n_outbursts,outbursts
GX 339-4,6595,12,50378-51266;52366-52738;53068-53484;54070-54246;55200-55604;56506-56596;56952-57270;58740-58956;59244-59486;60256-60440;60486-60662;60990-61082
MAXI J1820+070,661,1,58188-58405
XTE J1550-564,1014,3,51064-51304;51638-51696;51940-51990
GRO J1655-40,1204,2,50154-50676;53434-53634
4U 1543-47,984,3,52442-52484;55662-55748;59376-59562
XTE J1859+226,599,1,51460-51580
GRS 1915+105,14619,3,50134-58808;59046-59130;59402-59484
V404 Cyg,1157,1,57186-57200
XTE J1118+480,733,2,51548-51564;51612-51734
A0620-00,300,0,
GRS 1124-684,371,0,
Cyg X-1,16202,7,50136-57188;57218-58050;58082-58270;58302-58412;58442-59138;59168-60664;60696-61238
MAXI J1348-630,1257,1,58510-58696
H1743-322,4475,12,52698-52956;53160-53308;53590-53626;54456-54534;54728-54788;54976-55032;55162-55264;55360-55456;55660-55804;56506-56546;57182-57218;60010-60060
MAXI J1535-571,1656,1,58000-58200
Swift J1727.8-1613,1262,6,55054-55074;59160-59248;59386-59644;59930-60114;60180-60424;60880-61064
MAXI J1659-152,818,1,55464-55510
XTE J1752-223,4702,1,55058-55332
