name,alt_name,tier,M_msun,M_err,D_kpc,D_err,incl_deg,Porb_d,spin,spin_err,maxi_id,bat_name,ref_mass_dist
GX 339-4,V821 Ara,gold,5.9,3.6,8.4,0.9,50,1.7587,0.95,0.05,J1702-487,GX339-4,"Heida et al. 2017 ApJ 846,132 (M=2.3-9.5); Zdziarski et al. 2019 MNRAS; spin: Reis+08"
MAXI J1820+070,ASASSN-18ey,gold,8.48,0.79,2.96,0.33,63,0.6858,0.14,0.09,J1820+071,MAXIJ1820p070,"Torres et al. 2020 ApJL 893,L37; Atri et al. 2020 MNRAS 493,L81; spin: Zhao+21"
XTE J1550-564,V381 Nor,gold,9.1,0.6,4.4,0.5,75,1.542,0.34,0.24,,XTEJ1550-564,"Orosz et al. 2011 ApJ 730,75; spin: Steiner et al. 2011"
GRO J1655-40,V1033 Sco,gold,5.4,0.3,3.2,0.2,69,2.622,0.7,0.1,,GROJ1655-40,"Beer & Podsiadlowski 2002 MNRAS 331,351; Hjellming & Rupen 1995; spin: Shafee+06"
4U 1543-47,IL Lup,gold,9.4,1.0,7.5,0.5,20.7,1.123,0.8,0.1,J1547-476,4U1543-47,"Orosz 2003 IAUS 212; spin: Shafee+06"
XTE J1859+226,V406 Vul,gold,7.85,0.46,8.0,3.0,67,0.274,0.6,0.1,,XTEJ1859p226,"Motta et al. 2022 MNRAS 517,1469; Corral-Santana et al. 2011"
GRS 1915+105,V1487 Aql,gold,12.4,2.0,8.6,1.6,60,33.9,0.98,0.01,J1915+109,GRS1915p105,"Reid et al. 2014 ApJ 796,2; spin: McClintock+06"
V404 Cyg,GS 2023+338,gold,9.0,0.6,2.39,0.14,67,6.471,0.92,0.05,J2024+338,V404Cyg,"Khargharia et al. 2010 ApJ 716,1105; Miller-Jones et al. 2009 ApJL 706,L230; spin: Walton+17"
XTE J1118+480,KV UMa,gold,7.5,0.6,1.7,0.1,73,0.1699,,,,XTEJ1118p480,"Khargharia et al. 2013 AJ 145,21; Gelino et al. 2006"
A0620-00,V616 Mon,gold,6.6,0.25,1.06,0.12,51,0.3230,0.12,0.19,,,"Cantrell et al. 2010 ApJ 710,1127; spin: Gou+10"
GRS 1124-684,GU Mus,gold,11.0,1.8,5.0,0.7,43,0.4326,0.63,0.16,,,"Wu et al. 2016 ApJ 825,46; spin: Chen+16"
Cyg X-1,HDE 226868,gold,21.2,2.2,2.22,0.18,27.5,5.600,0.99,0.01,J1958+352,CygX-1,"Miller-Jones et al. 2021 Science 371,1046; spin: Zhao+21"
MAXI J1348-630,,silver,11.0,2.0,2.21,0.11,28,,0.8,0.1,J1348-632,MAXIJ1348-630,"Lamer et al. 2021 A&A 647,A7 (dust ring D); mass: Titarchuk & Seifina 2023 (scaling)"
H1743-322,IGR J17464-3213,silver,8.0,2.0,8.5,0.8,75,,0.2,0.3,J1746-322,IGRJ17464-3213,"Steiner et al. 2012 ApJ 745,136 (D,i from jets); mass assumed typical"
MAXI J1535-571,,silver,8.0,2.0,4.1,0.6,45,,0.99,0.01,J1535-572,MAXIJ1535-571,"Chauhan et al. 2019 MNRAS 488,L129 (HI D); spin: Miller+18; mass assumed typical"
Swift J1727.8-1613,,silver,10.0,2.0,3.7,0.3,40,0.45,0.98,0.02,J1727-162,SWIFTJ1727.8-1613,"Mata Sanchez et al. 2025 A&A (D, dynamical constraints); spin: Peng+24 IXPE/NuSTAR era estimates"
MAXI J1659-152,,silver,5.0,1.5,6.0,2.0,70,0.1006,,,J1659-152,MAXIJ1659-152,"Kuulkers et al. 2013 A&A 552,A32; Torres+21"
XTE J1752-223,,silver,9.5,1.5,6.0,2.0,35,,0.92,0.06,J1752-223,XTEJ1752-223,"Ratti et al. 2012 MNRAS 423,2656; spin: Reis+11"
