name,a_cf,a_cf_err,ref_cf,a_refl,a_refl_err,ref_refl,notes
GX 339-4,0.9,0.1,"Kolehmainen & Done 2010 MNRAS 406 2206 (a<0.9; adopted 0.9 upper-bound midpoint with 0.1)",0.95,0.05,"Garcia et al. 2015 ApJ 813 84; Reis et al. 2008 MNRAS 387 1489","CF limited by mass/distance uncertainty"
MAXI J1820+070,0.14,0.09,"Zhao et al. 2021 ApJ 916 108",0.2,0.2,"Buisson et al. 2019 MNRAS 490 1350 (low spin preferred; conservative 0.2+-0.2)","both methods -> low spin"
XTE J1550-564,0.34,0.24,"Steiner et al. 2011 MNRAS 416 941 (CF: -0.11 to 0.71)",0.55,0.22,"Steiner et al. 2011 MNRAS 416 941 (Fe line: 0.33-0.77)","joint CF+refl consistent"
GRO J1655-40,0.7,0.1,"Shafee et al. 2006 ApJ 636 L113",0.98,0.01,"Reis et al. 2009 MNRAS 395 1257","known CF-refl tension"
4U 1543-47,0.8,0.1,"Shafee et al. 2006 ApJ 636 L113",,,"","refl values unsettled"
XTE J1859+226,,,"",,,"","no robust published spin"
GRS 1915+105,0.98,0.01,"McClintock et al. 2006 ApJ 652 518",0.98,0.01,"Miller et al. 2013 ApJ 775 L45","high spin both methods"
V404 Cyg,,,"",0.92,0.05,"Walton et al. 2017 ApJ 839 110 (a>0.92; adopted 0.92+-0.05 lower-bound)","refl only"
XTE J1118+480,,,"",,,"","no robust published spin"
A0620-00,0.12,0.19,"Gou et al. 2010 ApJ 718 L122",,,"","CF only (quiescent refl impossible)"
GRS 1124-684,0.63,0.16,"Chen et al. 2016 ApJ 825 45",,,"","CF only"
Cyg X-1,0.99,0.01,"Zhao et al. 2021 ApJ 908 117 (a>0.9985; adopted 0.99+-0.01)",0.95,0.03,"Walton et al. 2016 ApJ 826 87 (0.93-0.96)","persistent source"
MAXI J1348-630,,,"",0.78,0.04,"Jia et al. 2022 MNRAS 511 3125","refl only"
H1743-322,0.2,0.3,"Steiner et al. 2012 ApJ 745 L7 (-0.3<a<0.7)",,,"","CF only, weakly constrained"
MAXI J1535-571,,,"",0.985,0.01,"Xu et al. 2018 ApJ 852 L34 (a>0.84); Miller et al. 2018 ApJ 860 L28 (0.987+-0.002; adopted 0.985+-0.01)","refl only"
Swift J1727.8-1613,,,"",0.98,0.02,"Peng et al. 2024 ApJ 960 L17 (refl, a~0.98)","refl only, recent"
MAXI J1659-152,,,"",,,"","no robust published spin"
XTE J1752-223,,,"",0.52,0.11,"Reis et al. 2011 MNRAS 410 2497","refl only"
