file,n,mjd_min,mjd_max,insts
lc_4U_1543-47.csv,984,50095.5,61182.5,asm+bat+maxi
lc_A0620-00.csv,300,50087.5,55911.5,asm
lc_Cyg_X-1.csv,16202,50087.5,61237.5,asm+bat+maxi
lc_GRO_J1655-40.csv,1204,50153.5,60997.0,asm+bat
lc_GRS_1124-684.csv,371,50091.5,55882.5,asm
lc_GRS_1915+105.csv,14619,50088.5,61236.5,asm+bat+maxi
lc_GX_339-4.csv,6595,50088.5,61225.5,asm+bat+maxi
lc_H1743-322.csv,4475,50139.5,61237.5,asm+bat+maxi
lc_MAXI_J1348-630.csv,1257,55061.5,61237.5,bat+maxi
lc_MAXI_J1535-571.csv,1656,55059.5,61235.5,bat+maxi
lc_MAXI_J1659-152.csv,818,53422.0,61233.5,bat+maxi
lc_MAXI_J1820+070.csv,661,55067.5,61225.5,bat+maxi
lc_Swift_J1727.8-1613.csv,1262,55054.5,61212.5,bat+maxi
lc_V404_Cyg.csv,1157,50145.5,61237.5,asm+bat+maxi
lc_XTE_J1118+480.csv,733,50144.5,61026.0,asm+bat
lc_XTE_J1550-564.csv,1014,50091.5,61017.0,asm+bat
lc_XTE_J1752-223.csv,4702,53424.0,61235.5,bat+maxi
lc_XTE_J1859+226.csv,599,50174.5,61010.0,asm+bat
