name,M_msun,M_err,D_kpc,D_err,Porb_d,tier,a_cf,a_cf_err,a_refl,a_refl_err,a_best,a_method,r_isco_rg,omega_h,eta_bz,xi,xi_err,n_lrlx,phi_max_mid,phi_max_low,phi_max_high
GX 339-4,5.9,3.6,8.4,0.9,1.7587,gold,0.9,0.1,0.95,0.05,0.9,CF,2.320883041761887,0.3133945031366293,0.09821611459625476,29.694779716621074,0.021743115971020844,60.0,9.83242031082147,4.397192039669284,19.66484062164294
MAXI J1820+070,8.48,0.79,2.96,0.33,0.6858,gold,0.14,0.09,0.2,0.2,0.14,CF,5.534547432290455,0.03517320157526762,0.0012371541090544086,,,,,,
XTE J1550-564,9.1,0.6,4.4,0.5,1.542,gold,0.34,0.24,0.55,0.22,0.34,CF,4.834689078844027,0.08760965346955912,0.007675451381056233,29.11391781141055,0.0,1.0,16.281797278697553,7.281441102207762,32.563594557395106
GRO J1655-40,5.4,0.3,3.2,0.2,2.622,gold,0.7,0.1,0.98,0.01,0.7,CF,3.3931284701816304,0.2041836836755107,0.041690976679301016,29.373266330517364,0.1509445053286786,7.0,13.99773380134291,6.259976862149856,27.99546760268582
4U 1543-47,9.4,1.0,7.5,0.5,1.123,gold,0.8,0.1,,,0.8,CF,2.9066438544641957,0.25000000000000006,0.06250000000000003,30.368079869192865,7.105427357601002e-15,1.0,16.85020342485901,7.535640058536903,33.70040684971802
XTE J1859+226,7.85,0.46,8.0,3.0,0.274,gold,,,,,,none,,,,,,,,,
GRS 1915+105,12.4,2.0,8.6,1.6,33.9,gold,0.98,0.01,0.98,0.01,0.98,CF,1.6140296676354695,0.4086747513156509,0.16701505236290912,,,,,,
V404 Cyg,9.0,0.6,2.39,0.14,6.471,gold,,,0.92,0.05,0.92,refl,2.179871207383951,0.3304791528014628,0.10921647043637259,29.684751606168813,0.04092387449357015,24.0,9.11950785823997,4.078367898473617,18.23901571647994
XTE J1118+480,7.5,0.6,1.7,0.1,0.1699,gold,,,,,,none,,,,29.51101633310334,0.08316716796297491,20.0,23.162272764607952,10.358483283011072,46.324545529215904
A0620-00,6.6,0.25,1.06,0.12,0.323,gold,0.12,0.19,,,0.12,CF,5.602113877435633,0.030108784669714467,0.000906538914287233,,,,,,
GRS 1124-684,11.0,1.8,5.0,0.7,0.4326,gold,0.63,0.16,,,0.63,CF,3.702236782641949,0.17730545030622466,0.031437222708293105,,,,,,
Cyg X-1,21.2,2.2,2.22,0.18,5.6,gold,0.99,0.01,0.95,0.03,0.99,CF,1.4544979380596716,0.4338043637390611,0.18818622599905163,,,,,,
MAXI J1348-630,11.0,2.0,2.21,0.11,,silver,,,0.78,0.04,0.78,refl,3.009507469025378,0.23988492699584577,0.05754477819980225,28.83450700102817,0.04252906857866105,34.0,5.204794443885029,2.327654837088028,10.409588887770058
H1743-322,8.0,2.0,8.5,0.8,,silver,0.2,0.3,,,0.2,CF,5.329443296434935,0.050510257216821904,0.002551286084109509,29.13739028225247,0.09564975181668021,32.0,51.28197771231007,22.93399763707089,102.56395542462012
MAXI J1535-571,8.0,2.0,4.1,0.6,,silver,,,0.985,0.01,0.985,refl,1.5409872598770096,0.42002317803686595,0.17641947008818878,,,,,,
Swift J1727.8-1613,10.0,2.0,3.7,0.3,0.45,silver,,,0.98,0.02,0.98,refl,1.6140296676354695,0.4086747513156509,0.16701505236290912,,,,,,
MAXI J1659-152,5.0,1.5,6.0,2.0,0.1006,silver,,,,,,none,,,,29.306399682722393,0.10226222848484345,4.0,18.92025672932891,8.461396039705456,37.84051345865782
XTE J1752-223,9.5,1.5,6.0,2.0,,silver,,,0.52,0.11,0.52,refl,4.1542513118017075,0.14022474984374528,0.019662980468740942,29.28500434357271,0.11162435846240597,21.0,6.425871243057132,2.873736982827364,12.851742486114263
